字詞		中文釋義		考題
magician		[名詞] 魔術師		
major		[形容詞] 較多的;主要的; [動詞] 主修; [名詞] 主修		
male		[形容詞] 男性的; [名詞] 雄性動物		1
mall		[名詞] 大規模購物中心		
manager		[名詞] 經理		
mango		[名詞] 芒果		1
manner		[名詞] 舉止;態度		
marry		[動詞] 結婚		4
marvelous		[形容詞] 了不起的；絕妙的		
mass		[形容詞] 大眾的,民眾的;大量的; [名詞] 團;塊		
master		[動詞] 精通; [名詞] 主人		
mat		[名詞] 蓆子;墊子		
match		[動詞] 相配; [名詞] 比賽,競賽;對手;相配者;火柴		
maximum		[形容詞] 最大限度的; [名詞] 最高極限		
measure		[動詞] 計量; [名詞] 尺寸,度量單位,【音】拍子;方法，措施（通常複數）		
mechanic		[名詞] 技工		
memory		[名詞] 記憶		
men's room		[名詞] 男廁		
message		[名詞] 消息;音信		3
metal		[形容詞] 金屬的; [名詞] 金屬		
meter		[動詞] 用儀錶測量; [名詞] 公尺;計量器		
method		[名詞] 方法		
microwave		[動詞] 用微波爐烹調; [名詞] 微波爐；微波		
midnight		[形容詞] 半夜的;漆黑的; [名詞] 午夜		
minor		[形容詞] 較小的;較次要的; [動詞] 副修,兼修; [名詞] 未成年者;副科		
minus		[形容詞] 負的,減去的; [介系詞] 減（去）; [名詞] 負號		
mirror		[動詞] 反映,反射; [名詞] 鏡子		
mix		[動詞] 混合; [名詞] 混和,攪和;結合		1
model		[動詞] 塑像;當模特兒; [名詞] 模型;模特兒		
monster		[名詞] 怪物		
mosquito		[名詞] 蚊子		1
motion		[動詞] 打手勢;搖(或點)頭示意;擺動,走; [名詞] 移動		
movement		[名詞] 動作		
MRT		[縮寫] 大眾捷運系統		1
musician		[名詞] 音樂家		1
napkin		[名詞] 餐巾		
narrow		[形容詞] 窄的; [動詞] 變窄;收縮;減少		
nation		[名詞] 國家		
natural		[形容詞] 天然的		
naughty		[形容詞] 頑皮的		
necessary		[形容詞] 需要的		
necklace		[名詞] 項鍊		
needle		[動詞] (用話)刺激,挑逗;用針縫; [名詞] 針		
negative		[形容詞] 否定的;負面的; [名詞] 否定語;負數;陰電;底片		
